name,flag,description,source,header,cfg,is_analysis
AddDiscriminatorsPass,-add-discriminators,Add DWARF path discriminators,lib/Transforms/Utils/AddDiscriminators.cpp,include/llvm/Transforms/Utils/AddDiscriminators.h,False,False
AggressiveDCEPass,-adce,Aggressive Dead Code Elimination,lib/Transforms/Scalar/ADCE.cpp,include/llvm/Transforms/Scalar/ADCE.h,False,False
AggressiveInstCombinerPass,-aggressive-instcombine,Combine pattern based expressions,lib/Transforms/AggressiveInstCombine/AggressiveInstCombine.cpp,include/llvm/Transforms/AggressiveInstCombine/AggressiveInstCombine.h,False,False
AlignmentFromAssumptionsPass,-alignment-from-assumptions,Alignment from assumptions,lib/Transforms/Scalar/AlignmentFromAssumptions.cpp,include/llvm/Transforms/Scalar/AlignmentFromAssumptions.h,False,False
AlwaysInlinerLegacyPass,-always-inline,Inliner for always_inline functions,lib/Transforms/IPO/AlwaysInliner.cpp,include/llvm/Transforms/IPO/AlwaysInliner.h,False,False
ArgumentPromotionPass,-argpromotion,Promote 'by reference' arguments to scalars,lib/Transforms/IPO/ArgumentPromotion.cpp,include/llvm/Transforms/IPO/ArgumentPromotion.h,False,False
AttributorLegacyPass,-attributor,Deduce and propagate attributes,lib/Transforms/IPO/Attributor.cpp,include/llvm/Transforms/IPO/Attributor.h,False,False
BarrierNoopPass,-barrier,A No-Op Barrier Pass,lib/Transforms/IPO/BarrierNoopPass.cpp,,False,False
BitTrackingDCEPass,-bdce,Bit-Tracking Dead Code Elimination,lib/Transforms/Scalar/BDCE.cpp,include/llvm/Transforms/Scalar/BDCE.h,False,False
BreakCriticalEdgesPass,-break-crit-edges,Break critical edges in CFG,lib/Transforms/Utils/BreakCriticalEdges.cpp,include/llvm/Transforms/Utils/BreakCriticalEdges.h,False,False
CFGSimplificationPass,-simplifycfg,Simplify the CFG,lib/Transforms/Scalar/SimplifyCFGPass.cpp,,False,False
CallSiteSplittingPass,-callsite-splitting,Call-site splitting,lib/Transforms/Scalar/CallSiteSplitting.cpp,include/llvm/Transforms/Scalar/CallSiteSplitting.h,False,False
CalledValuePropagationPass,-called-value-propagation,Called Value Propagation,lib/Transforms/IPO/CalledValuePropagation.cpp,include/llvm/Transforms/IPO/CalledValuePropagation.h,False,False
CanonicalizeAliasesPass,-canonicalize-aliases,Canonicalize aliases,lib/Transforms/Utils/CanonicalizeAliases.cpp,include/llvm/Transforms/Utils/CanonicalizeAliases.h,False,False
ConstantHoistingPass,-consthoist,Constant Hoisting,lib/Transforms/Scalar/ConstantHoisting.cpp,include/llvm/Transforms/Scalar/ConstantHoisting.h,False,False
ConstantMergePass,-constmerge,Merge Duplicate Global Constants,lib/Transforms/IPO/ConstantMerge.cpp,include/llvm/Transforms/IPO/ConstantMerge.h,False,False
