benchmark,reward,walltime,commandline
benchmark://cBench-v0/adpcm,245.0,3601.6589789390564,opt -prune-eh -slsr -reassociate -add-discriminators -partially-inline-libcalls -redundant-dbg-inst-elim -inject-tli-mappings -loop-guard-widening -globaldce -pgo-memop-opt -mem2reg -rewrite-symbols -rewrite-symbols -speculative-execution -barrier -loop-reroll -load-store-vectorizer -separate-const-offset-from-gep -lower-expect -post-inline-ee-instrument -simplifycfg -instcombine -gvn-hoist -constmerge -always-inline -inferattrs -inline -reassociate -loop-versioning-licm -pgo-memop-opt -hotcoldsplit -loop-fusion -mem2reg -loop-simplify -strip-nondebug -guard-widening -coro-early -objc-arc -scalarizer -callsite-splitting -simplifycfg -early-cse-memssa input.bc -o output.bc
benchmark://cBench-v0/bitcount,361.0,3601.806175470352,opt -adce -partial-inliner -alignment-from-assumptions -partially-inline-libcalls -loop-simplifycfg -strip-dead-prototypes -loop-interchange -simplifycfg -inline -libcalls-shrinkwrap -mergeicmps -sroa -extract-blocks -cross-dso-cfi -loop-instsimplify -mergereturn -redundant-dbg-inst-elim -sancov -loop-idiom -licm -flattencfg -canonicalize-aliases -forceattrs -instsimplify -indvars -objc-arc-apelim -called-value-propagation -objc-arc-contract -mem2reg -bdce -sancov -called-value-propagation -loop-data-prefetch -guard-widening -float2int -lcssa -aggressive-instcombine -instcombine -mergefunc -loop-reduce -mem2reg -guard-widening -bounds-checking -cross-dso-cfi -rewrite-statepoints-for-gc -loop-fusion -bdce -argpromotion -lower-widenable-condition -lowerswitch -globalsplit -die -div-rem-pairs -simplifycfg -inline -loop-unroll -loop-reduce -newgvn -tailcallelim -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/blowfish,1905.0,3601.9099452495575,opt -sroa -loop-deletion -infer-address-spaces -always-inline -instcombine -rewrite-statepoints-for-gc -die -mldst-motion -structurizecfg -objc-arc-contract -simplifycfg -name-anon-globals -objc-arc -constprop -consthoist -called-value-propagation -mem2reg -ipsccp -mergereturn -load-store-vectorizer -lower-expect -rpo-functionattrs -licm -consthoist -loop-interchange -ipconstprop -consthoist -slp-vectorizer -separate-const-offset-from-gep -constmerge -globalopt -rewrite-symbols -partial-inliner -globalopt -cross-dso-cfi -deadargelim -indvars -nary-reassociate -inject-tli-mappings -inject-tli-mappings -add-discriminators -loop-fusion -load-store-vectorizer -gvn -aggressive-instcombine -loop-simplifycfg -loop-distribute -mergereturn -memcpyopt -nary-reassociate -lower-expect -structurizecfg -cross-dso-cfi -sccp -partial-inliner -lowerswitch -nary-reassociate -loop-versioning-licm -lower-guard-intrinsic -sancov -inline -adce -consthoist -lower-matrix-intrinsics -loop-fusion -loop-load-elim -loop-versioning -lower-expect -dce -sroa -objc-arc-apelim -break-crit-edges -objc-arc-expand -loop-unroll -float2int -loop-unroll -speculative-execution -attributor -sancov -loop-predication -constprop -lower-widenable-condition -loop-load-elim -indvars -reg2mem -sccp -loop-instsimplify -mem2reg -loop-unswitch -loop-unroll -loop-deletion -loop-instsimplify -consthoist -jump-threading -aggressive-instcombine -deadargelim -post-inline-ee-instrument -inferattrs -instnamer -loop-instsimplify -globalopt -deadargelim -slsr -loop-guard-widening -loop-data-prefetch -barrier -rewrite-symbols -loop-idiom -loop-reroll -loop-versioning-licm -tailcallelim -aggressive-instcombine -load-store-vectorizer -mldst-motion -gvn -partial-inliner -mergereturn -called-value-propagation -add-discriminators -redundant-dbg-inst-elim -inject-tli-mappings -instcombine -dce -lowerinvoke -sink -loop-versioning -insert-gcov-profiling -separate-const-offset-from-gep -instcombine -loop-unswitch -newgvn -prune-eh -lcssa -float2int -loop-idiom -elim-avail-extern -inject-tli-mappings -dse -ipconstprop -infer-address-spaces -strip -rewrite-statepoints-for-gc -bdce -barrier -add-discriminators -sccp -inferattrs -loop-fusion -mergeicmps -always-inline -jump-threading -loop-load-elim -objc-arc-contract -dse -irce -loop-versioning-licm -licm -guard-widening -lowerinvoke -loop-predication -consthoist -loop-predication -partially-inline-libcalls -loop-guard-widening -lowerswitch -barrier -cross-dso-cfi -sancov -slp-vectorizer -hotcoldsplit -simplifycfg -loop-reduce -partial-inliner -mldst-motion -lowerinvoke -strip-dead-prototypes -loop-predication -post-inline-ee-instrument -globalsplit -attributor -simple-loop-unswitch -irce -simple-loop-unswitch -lower-widenable-condition -gvn-hoist -canonicalize-aliases -instcombine -ipsccp -slp-vectorizer -functionattrs -partially-inline-libcalls -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/bzip2,14904.0,4048.1371173858643,opt -loop-interchange -objc-arc-expand -div-rem-pairs -insert-gcov-profiling -float2int -infer-address-spaces -loop-unswitch -slsr -coro-early -simplifycfg -memcpyopt -cross-dso-cfi -strip-debug-declare -lowerswitch -forceattrs -mem2reg -insert-gcov-profiling -licm -loop-guard-widening -constprop -alignment-from-assumptions -structurizecfg -div-rem-pairs -infer-address-spaces -gvn-hoist -objc-arc -coro-split -loop-extract-single -name-anon-globals -loop-vectorize -libcalls-shrinkwrap -constmerge -partial-inliner -strip-debug-declare -loop-vectorize -strip-debug-declare -break-crit-edges -insert-gcov-profiling -rpo-functionattrs -post-inline-ee-instrument -bdce -mldst-motion -prune-eh -loop-versioning -jump-threading -slp-vectorizer -coro-cleanup -gvn -div-rem-pairs -scalarizer -name-anon-globals -loop-vectorize -loop-versioning-licm -instsimplify -scalarizer -load-store-vectorizer -consthoist -structurizecfg -loop-unswitch -loop-sink -loop-reroll -speculative-execution -objc-arc-expand -bdce -simplifycfg -callsite-splitting -separate-const-offset-from-gep -coro-cleanup -guard-widening -partially-inline-libcalls -loop-simplifycfg -loop-versioning-licm -tailcallelim -die -argpromotion -loop-reroll -partially-inline-libcalls -sroa -loop-idiom -objc-arc-expand -alignment-from-assumptions -loop-reduce -load-store-vectorizer -objc-arc-apelim -sancov -functionattrs -partial-inliner -loop-simplify -instcombine -early-cse-memssa -guard-widening -separate-const-offset-from-gep -memcpyopt -coro-elide -aggressive-instcombine -called-value-propagation -barrier -structurizecfg -barrier -mergereturn -alignment-from-assumptions -called-value-propagation -simplifycfg -loop-vectorize -dce -scalarizer -barrier -coro-split -adce -objc-arc-expand -lowerinvoke -lowerinvoke -loop-simplify -barrier -irce -mergeicmps -instnamer -jump-threading -add-discriminators -globalopt -mem2reg -nary-reassociate -aggressive-instcombine -ee-instrument -lower-expect -coro-split -lower-widenable-condition -lowerswitch -elim-avail-extern -loop-data-prefetch -indvars -attributor -rpo-functionattrs -instnamer -canonicalize-aliases -hotcoldsplit -lowerswitch -dce -dse -sroa -objc-arc-contract -libcalls-shrinkwrap -ipsccp -div-rem-pairs -redundant-dbg-inst-elim -loop-fusion -loop-vectorize -loop-unroll -instnamer -loop-simplifycfg -instsimplify -break-crit-edges -lower-matrix-intrinsics -callsite-splitting -lower-matrix-intrinsics -inline -instcombine -strip -load-store-vectorizer -nary-reassociate -lower-matrix-intrinsics -add-discriminators -cross-dso-cfi -loop-data-prefetch -objc-arc-expand -loop-distribute -loop-unswitch -loop-sink -licm -add-discriminators -mergereturn -sancov -partially-inline-libcalls -newgvn -loop-extract-single -div-rem-pairs -loop-interchange -slp-vectorizer -dse -loop-simplifycfg -loop-sink -partially-inline-libcalls -redundant-dbg-inst-elim -deadargelim -coro-early -loop-vectorize -div-rem-pairs -alignment-from-assumptions -forceattrs -objc-arc -slp-vectorizer -jump-threading -deadargelim -memcpyopt -instcombine input.bc -o output.bc
benchmark://cBench-v0/crc32,91.0,3601.614350795746,opt -partial-inliner -loop-load-elim -loop-idiom -loop-unroll-and-jam -infer-address-spaces -inject-tli-mappings -attributor -speculative-execution -separate-const-offset-from-gep -attributor -loop-simplify -dse -name-anon-globals -loop-reduce -extract-blocks -early-cse-memssa -coro-split -canonicalize-aliases -loop-load-elim -simplifycfg -correlated-propagation -sink -strip-nondebug -constmerge -called-value-propagation -licm -strip-dead-prototypes -gvn-hoist -gvn -post-inline-ee-instrument -instcombine -correlated-propagation -coro-early -coro-elide -slsr -prune-eh -argpromotion -gvn -loop-distribute -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/dijkstra,161.0,3601.756363630295,opt -post-inline-ee-instrument -correlated-propagation -guard-widening -div-rem-pairs -loop-guard-widening -loop-unroll-and-jam -hotcoldsplit -rpo-functionattrs -rpo-functionattrs -objc-arc-contract -loop-vectorize -loop-interchange -mem2reg -loop-unroll-and-jam -globaldce -gvn-hoist -loop-unswitch -newgvn -sancov -instnamer -load-store-vectorizer -adce -name-anon-globals -adce -loop-versioning-licm -tailcallelim -break-crit-edges -instsimplify -mergereturn -bounds-checking -coro-split -instcombine -guard-widening -mldst-motion -guard-widening -loop-unswitch -mergeicmps -sroa -sancov -ipsccp -speculative-execution -objc-arc-apelim -pgo-memop-opt -loop-distribute -sancov -coro-split -loop-predication -gvn-hoist -prune-eh -lower-expect -reassociate -lowerinvoke -simplifycfg -scalarizer -memcpyopt -dce -cross-dso-cfi -sccp -coro-elide -loop-vectorize -jump-threading -loop-reduce -redundant-dbg-inst-elim -lowerswitch -loop-versioning -ee-instrument -loop-simplify -instcombine -bdce -name-anon-globals -tailcallelim -elim-avail-extern -loop-data-prefetch -loop-vectorize -tailcallelim -correlated-propagation -mergereturn -partial-inliner -mergefunc -mergeicmps -coro-elide -prune-eh -loop-data-prefetch -partial-inliner -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/ghostscript,194366.0,4032.2895641326904,opt -jump-threading -strip-dead-prototypes -newgvn -objc-arc -redundant-dbg-inst-elim -globalopt -loop-versioning -loop-unroll-and-jam -sink -float2int -loop-unroll -ipconstprop -lower-expect -structurizecfg -licm -loop-instsimplify -loop-extract-single -loop-interchange -partial-inliner -mem2reg -loop-versioning-licm -infer-address-spaces -guard-widening -lower-widenable-condition -functionattrs -deadargelim -jump-threading -lcssa -gvn -early-cse-memssa -loop-vectorize -loop-fusion -strip-dead-prototypes -rpo-functionattrs -nary-reassociate -rewrite-symbols -dse -loop-predication -loop-reroll -loop-unroll -load-store-vectorizer -rewrite-symbols -callsite-splitting -aggressive-instcombine -loop-versioning-licm -instcombine -consthoist -constprop -slp-vectorizer -loop-instsimplify -dce -lower-expect -hotcoldsplit -newgvn -loop-reroll -hotcoldsplit -mldst-motion -infer-address-spaces -flattencfg -constmerge -elim-avail-extern -ipconstprop -always-inline -inferattrs -licm -memcpyopt -coro-early -sink -lowerswitch -mergefunc -sink -attributor -extract-blocks -mergeicmps -slsr -instcombine -mldst-motion -argpromotion -redundant-dbg-inst-elim -alignment-from-assumptions -lower-matrix-intrinsics -libcalls-shrinkwrap -post-inline-ee-instrument -loop-sink -memcpyopt -irce -loop-data-prefetch -coro-split -loop-deletion -pgo-memop-opt -coro-split -lower-expect -redundant-dbg-inst-elim -globaldce -bdce -globalopt -attributor -barrier -objc-arc-expand -guard-widening -post-inline-ee-instrument -loop-instsimplify -loop-load-elim -attributor -loop-interchange -licm -simplifycfg -pgo-memop-opt -globalopt -rpo-functionattrs -strip-debug-declare -globalsplit -extract-blocks -load-store-vectorizer -alignment-from-assumptions -instsimplify -sccp -loop-reroll -libcalls-shrinkwrap -instcombine -infer-address-spaces -slsr -sancov -cross-dso-cfi -loweratomic -sccp -name-anon-globals -load-store-vectorizer -mem2reg -loop-load-elim -gvn -redundant-dbg-inst-elim -objc-arc-contract -lower-guard-intrinsic -simplifycfg input.bc -o output.bc
benchmark://cBench-v0/gsm,7951.0,3603.166229724884,opt -loop-versioning -adce -strip-nondebug -constmerge -newgvn -mergereturn -sroa -mergeicmps -lower-widenable-condition -ee-instrument -instcombine -partially-inline-libcalls -objc-arc-apelim -forceattrs -globaldce -lcssa -libcalls-shrinkwrap -loop-unswitch -lcssa -simplifycfg -bdce -functionattrs -nary-reassociate -loop-simplifycfg -loop-guard-widening -irce -strip -jump-threading -simplifycfg -float2int -coro-elide -callsite-splitting -simplifycfg -forceattrs -break-crit-edges -loop-vectorize -instcombine -add-discriminators -partially-inline-libcalls -div-rem-pairs -add-discriminators -hotcoldsplit -licm -mergefunc -strip-dead-prototypes -globalsplit -correlated-propagation -break-crit-edges -globalopt -consthoist -adce -early-cse-memssa -loop-reduce -jump-threading -scalarizer -instnamer -inline -ipsccp -loop-predication -objc-arc-contract -coro-cleanup -constprop -dce -flattencfg -globalopt -loop-simplifycfg -die -hotcoldsplit -coro-cleanup -slp-vectorizer -loop-data-prefetch -loop-guard-widening -consthoist -memcpyopt -prune-eh -objc-arc-contract -prune-eh -strip -newgvn -strip-dead-prototypes -coro-split -load-store-vectorizer -lowerswitch -globalopt -flattencfg -break-crit-edges -slp-vectorizer -aggressive-instcombine -pgo-memop-opt -loop-simplify -irce -instsimplify -loop-distribute -inline -deadargelim -sccp -lower-constant-intrinsics -ipconstprop -forceattrs -memcpyopt -loop-interchange -ipconstprop -attributor -bounds-checking -globalopt -pgo-memop-opt -add-discriminators -loop-vectorize -adce -loop-guard-widening -lower-widenable-condition -partially-inline-libcalls -correlated-propagation -elim-avail-extern -rewrite-statepoints-for-gc -argpromotion -lowerinvoke -add-discriminators -coro-elide -bdce -globaldce -break-crit-edges -ee-instrument -loop-deletion -instsimplify -inline -ipsccp -hotcoldsplit -float2int -tailcallelim -loweratomic -rewrite-statepoints-for-gc -libcalls-shrinkwrap -jump-threading -infer-address-spaces -licm -ee-instrument -instcombine -aggressive-instcombine -infer-address-spaces -argpromotion -guard-widening -reassociate -alignment-from-assumptions -name-anon-globals -loop-reroll -alignment-from-assumptions -mergeicmps -load-store-vectorizer -always-inline -barrier -mem2reg -loop-reroll -bdce -dse -correlated-propagation -gvn-hoist -always-inline -jump-threading -loop-guard-widening -die -infer-address-spaces -insert-gcov-profiling -instnamer -name-anon-globals -separate-const-offset-from-gep -instsimplify -sroa -gvn-hoist -dse -objc-arc-apelim -globalsplit -lower-widenable-condition -pgo-memop-opt -loop-vectorize -aggressive-instcombine -loop-data-prefetch -loop-idiom -lcssa -memcpyopt -strip-nondebug -loop-vectorize -mldst-motion -insert-gcov-profiling -inferattrs -lowerswitch -mldst-motion -coro-elide -objc-arc-expand -loop-versioning-licm -jump-threading -sccp -loop-distribute -div-rem-pairs -called-value-propagation -simplifycfg -separate-const-offset-from-gep -barrier -coro-elide -instnamer -guard-widening -loop-unswitch -slsr -load-store-vectorizer -coro-elide -memcpyopt -callsite-splitting -mergeicmps -elim-avail-extern -correlated-propagation -mergefunc -slsr -aggressive-instcombine -lower-constant-intrinsics -constprop -loop-unswitch -gvn-hoist -die -ipsccp -instcombine -loop-versioning -lcssa -loop-extract-single -objc-arc-expand -globalsplit -loop-guard-widening -argpromotion -loop-load-elim -separate-const-offset-from-gep -loop-data-prefetch -loop-fusion -break-crit-edges -dce -lower-guard-intrinsic -redundant-dbg-inst-elim -argpromotion -loop-versioning -die -lowerinvoke -loop-idiom -inline -ipconstprop -loop-load-elim -instsimplify -always-inline -add-discriminators -jump-threading input.bc -o output.bc
benchmark://cBench-v0/ispell,7033.0,3609.892568588257,opt -objc-arc -loop-versioning-licm -loop-predication -mldst-motion -name-anon-globals -loop-interchange -alignment-from-assumptions -ee-instrument -loop-fusion -bounds-checking -sroa -ee-instrument -lowerswitch -loop-load-elim -consthoist -loop-unroll -consthoist -attributor -lower-guard-intrinsic -inferattrs -objc-arc -reassociate -strip-nondebug -jump-threading -gvn -reg2mem -bounds-checking -licm -loop-predication -globalsplit -coro-cleanup -rewrite-statepoints-for-gc -dce -loop-simplifycfg -guard-widening -tailcallelim -objc-arc-contract -structurizecfg -coro-cleanup -objc-arc -mergeicmps -mergereturn -dce -elim-avail-extern -objc-arc-apelim -loop-reroll -post-inline-ee-instrument -slp-vectorizer -coro-early -ee-instrument -hotcoldsplit -loop-data-prefetch -sroa -speculative-execution -mem2reg -lower-widenable-condition -die -loop-unroll-and-jam -loop-unroll -rewrite-symbols -sancov -irce -mergereturn -objc-arc-apelim -jump-threading -loop-reduce -lower-constant-intrinsics -redundant-dbg-inst-elim -rewrite-statepoints-for-gc -dse -mergefunc -dse -jump-threading -inferattrs -bdce -loop-vectorize -libcalls-shrinkwrap -loop-extract-single -float2int -inject-tli-mappings -add-discriminators -called-value-propagation -objc-arc-expand -mergeicmps -inferattrs -loop-unroll-and-jam -strip -objc-arc-expand -mem2reg -objc-arc-apelim -loop-extract-single -always-inline -mergeicmps -die -globaldce -lower-expect -post-inline-ee-instrument -loop-versioning -guard-widening -loop-vectorize -instsimplify -adce -loop-versioning -redundant-dbg-inst-elim -canonicalize-aliases -loop-guard-widening -loop-sink -globalsplit -insert-gcov-profiling -scalarizer -attributor -adce -mldst-motion -globalsplit -ee-instrument -strip-nondebug -load-store-vectorizer -structurizecfg -loweratomic -loop-simplifycfg -jump-threading -indvars -deadargelim -called-value-propagation -simplifycfg -libcalls-shrinkwrap -loop-versioning-licm -loop-unroll-and-jam -redundant-dbg-inst-elim -add-discriminators -scalarizer -loop-fusion -loop-fusion -coro-early -pgo-memop-opt -div-rem-pairs -loop-idiom -elim-avail-extern -pgo-memop-opt -cross-dso-cfi -die -deadargelim -strip -flattencfg -constmerge -adce -loop-versioning-licm -simple-loop-unswitch -aggressive-instcombine -ipsccp input.bc -o output.bc
benchmark://cBench-v0/jpeg-c,26841.0,3614.6791718006134,opt -div-rem-pairs -gvn-hoist -simplifycfg -reassociate -partially-inline-libcalls -ipconstprop -memcpyopt -loop-reduce -lower-guard-intrinsic -sroa -loop-predication -partially-inline-libcalls -objc-arc-apelim -loweratomic -loop-predication -deadargelim -objc-arc-contract -newgvn -elim-avail-extern -reassociate -slsr -nary-reassociate -guard-widening -callsite-splitting -guard-widening -slsr -constprop -coro-elide -loop-load-elim -globalopt -guard-widening -coro-split -loop-guard-widening -infer-address-spaces -reg2mem -adce -coro-early -loop-versioning -bdce -early-cse-memssa -nary-reassociate -aggressive-instcombine -lower-guard-intrinsic -ipsccp -dse -objc-arc-contract -adce -barrier -objc-arc -slsr -loop-unswitch -loop-vectorize -objc-arc-expand -pgo-memop-opt -speculative-execution -die -loop-versioning-licm -attributor -name-anon-globals -inject-tli-mappings -always-inline -mldst-motion -lower-widenable-condition -coro-split -structurizecfg -loop-predication -speculative-execution -strip-debug-declare -simple-loop-unswitch -deadargelim -deadargelim -rewrite-statepoints-for-gc -cross-dso-cfi -loop-data-prefetch -partial-inliner -separate-const-offset-from-gep -irce -inject-tli-mappings -loop-unswitch -mergeicmps -post-inline-ee-instrument -jump-threading -reassociate -adce -objc-arc-apelim -loweratomic -load-store-vectorizer -insert-gcov-profiling -constprop -coro-cleanup -globaldce -div-rem-pairs -globalsplit -ipconstprop -strip-dead-prototypes -coro-elide -flattencfg -globaldce -gvn -nary-reassociate -libcalls-shrinkwrap -infer-address-spaces -instnamer -gvn -strip -mldst-motion -float2int -callsite-splitting -instsimplify -lcssa -redundant-dbg-inst-elim -objc-arc -objc-arc -ee-instrument -partially-inline-libcalls -div-rem-pairs -instcombine -loweratomic -break-crit-edges -globalsplit -elim-avail-extern -mergeicmps -guard-widening -attributor -loop-simplifycfg -dse -correlated-propagation -aggressive-instcombine -loop-interchange -instnamer -globalsplit -simplifycfg -early-cse-memssa -structurizecfg -argpromotion -lowerswitch -objc-arc-expand -objc-arc-expand -name-anon-globals -break-crit-edges -loop-vectorize -mldst-motion -loop-data-prefetch -lower-guard-intrinsic -loweratomic -globalopt -loop-interchange -deadargelim -add-discriminators -float2int -inject-tli-mappings -jump-threading -load-store-vectorizer -instcombine -ipsccp -newgvn -dce -loop-simplifycfg -infer-address-spaces -strip-debug-declare -extract-blocks -libcalls-shrinkwrap -lcssa -early-cse-memssa -alignment-from-assumptions -mem2reg input.bc -o output.bc
